city,area,district,area_type,population_m,area_km2,IFS,DLS,SES,WDI,MCI,WSI,WEI,MCI_class,Safety_risk,Employment_gap,Profile_label,MCI_predicted,MCI_class_predicted
Indore (MP),Pithampur Industrial,Indore,Industrial Peri-urban,0.52,185.0,27.75167872416733,44.23396364025758,46.517476727442144,39.3991889713329,37.3264052111297,35.609270737404785,40.35350022130163,Moderate desert,Moderate safety risk,Moderate employment gap,Women exclusion gap (severe),37.85799417466854,Moderate desert
Indore (MP),Dewas Road Corridor,Indore,Peri-urban Mixed,0.34,85.0,13.533342073326118,23.02814567935731,28.693124243141845,17.989409068378855,19.293263615713723,17.72452004292751,21.21226828752514,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),17.659578661352064,Severe desert
Mohali (Punjab),Mohali City (Phase 1-11),Mohali,Urban Planned,0.38,62.0,82.95474275104638,91.15159704616129,70.73033057939837,93.80259049578852,84.19817448352819,79.97969088815483,76.88554681824786,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),82.45696102682801,Connected
Mohali (Punjab),Zirakpur Suburb,Mohali,Peri-urban Residential,0.14,48.0,53.45345088700771,76.02217330783856,68.38282682408327,75.34218832135501,65.72041086191548,77.2102261858461,67.87159302965962,Near-connected,Low safety risk,Adequate opportunity,Infrastructure gap (mild),63.74460897645165,Near-connected
Mohali (Punjab),Derabassi Industrial,Mohali,Industrial Belt,0.09,42.0,33.16759720729595,57.12071043872382,59.03837037198229,51.48205194515064,46.835655323929764,62.09388447428593,51.16631700308899,Partial connectivity,Low safety risk,Moderate employment gap,Infrastructure gap (moderate),47.8151502207023,Partial connectivity
Patna (Bihar),Patna City Core (PMC),Patna,Municipal Corporation,1.68,136.0,36.01042365024905,34.66592377720245,33.51942315271917,32.53551015753194,34.56541710697656,28.446559890163666,24.306756565013373,Moderate desert,High safety risk,Critical employment gap,Women exclusion gap (severe),33.28462765636376,Moderate desert
Patna (Bihar),Patna Sahib East,Patna,Peri-urban Residential,0.38,62.0,16.072578794349678,18.174953293272917,22.484668083184754,18.64864474017055,18.2433980711333,18.015057838018635,15.168531424287146,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),14.859794381580535,Severe desert
Patna (Bihar),Danapur-Phulwarisharif,Patna,Peri-urban Mixed,0.29,82.0,3.454237093378811,12.5,12.978345949714825,14.285714285714286,8.395173697202889,6.447873653839039,5.136492204211333,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),10.831957039037707,Severe desert
Ranchi (Jharkhand),Ranchi City Core (RMC),Ranchi,Municipal Corporation,1.08,175.0,29.745274482876713,37.075062475453095,38.39151285475291,32.21934732710531,33.850082851782844,31.626185103101605,27.32913132918394,Moderate desert,High safety risk,Critical employment gap,Women exclusion gap (severe),34.66787386453628,Moderate desert
Ranchi (Jharkhand),Ranchi Rural Fringe,Ranchi,Peri-urban Tribal,0.24,320.0,0.1538815212568188,10.958422421878472,13.440240961293838,10.920155559737859,4.475398972146557,4.959282461800516,3.454628880973413,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),10.740712864504244,Severe desert
Ranchi (Jharkhand),Hatia Industrial,Ranchi,Industrial Zone,0.15,68.0,8.504762655497833,20.334077707957597,27.500150488889478,17.89798418478408,15.727589468185299,24.336061231340565,17.7750430410694,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),14.83405186846512,Severe desert
Agra (UP),Agra City Core (AMC),Agra,Municipal Corporation,1.52,188.0,39.565503141337246,34.174055608546404,32.43650733751711,29.40968270118974,34.81109508730177,24.5662978365513,24.657179632561395,Moderate desert,High safety risk,Critical employment gap,Women exclusion gap (severe),33.47953454618363,Moderate desert
Agra (UP),Agra Cantonment,Agra,Cantonment Zone,0.12,38.0,59.701728626686254,68.00884085273306,70.17450929814164,70.36093028844718,65.72303031681565,78.28814103287166,66.57103629632687,Near-connected,Low safety risk,Adequate opportunity,Infrastructure gap (mild),63.34195677734464,Near-connected
Agra (UP),Firozabad Corridor,Agra,Industrial Peri-urban,0.11,72.0,20.047111159669143,13.67900220114666,20.958987060226136,10.430303216203129,16.3843099721802,17.575319601142006,15.262947160504066,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),14.02804342115253,Severe desert
Bhubaneswar (Odisha),Bhubaneswar City (BMC),Bhubaneswar,Municipal Corporation,0.84,135.0,54.74860258502816,55.0928540650774,50.954632543900274,52.04950405063192,53.66145794121711,47.68297048055461,47.826790153909045,Partial connectivity,Moderate safety risk,Moderate employment gap,Socio-economic barrier (moderate),52.728104048866356,Partial connectivity
Bhubaneswar (Odisha),Cuttack Twin City,Bhubaneswar,Twin City Municipal,0.72,192.0,32.635586432436384,40.517802432444945,39.81021411213186,36.453830630278645,36.84671325382431,31.18873516281357,32.150913102323415,Moderate desert,High safety risk,Critical employment gap,Women exclusion gap (severe),35.54715566803615,Moderate desert
Bhubaneswar (Odisha),Khordha Rural,Bhubaneswar,Peri-urban Rural,0.22,320.0,0.816740542235358,13.82537744265794,19.953984602285626,13.1270187314602,6.565108266589046,7.891760984247538,10.343403494241969,Severe desert,High safety risk,Critical employment gap,Infrastructure gap (severe),11.040462365408155,Severe desert
Coimbatore (TN),Coimbatore City (CCMC),Coimbatore,Municipal Corporation,1.62,246.75,81.32118050741377,82.67916542549497,67.98960160752567,88.50179479653454,79.86223622951876,66.34649192732827,72.01818341594547,Connected,Low safety risk,Adequate opportunity,Socio-economic barrier (mild),79.59861867815601,Connected
Coimbatore (TN),Tiruppur Corridor,Coimbatore,Industrial Textile,0.38,159.0,54.69558996495403,70.57194560129757,63.50025837360752,76.31570221844099,63.95499842074746,63.531884526201765,68.5797223618975,Near-connected,Low safety risk,Adequate opportunity,Infrastructure gap (mild),60.83666589005218,Near-connected
Coimbatore (TN),Pollachi Peri-urban,Coimbatore,Agri-Industrial,0.15,88.0,21.8126605398118,51.67129444288018,58.29249594675008,51.684253539954234,39.24258286533911,54.366201567615306,55.42392156532809,Moderate desert,Moderate safety risk,Moderate employment gap,Infrastructure gap (moderate),39.89458041454355,Moderate desert
